original,test_image,transform,expected
E:\Finalbefmid\images\00414d9b37399c9e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_compressed.jpg,compressed,1
E:\Finalbefmid\images\00414d9b37399c9e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_color.jpg,color,1
E:\Finalbefmid\images\00414d9b37399c9e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_watermark.jpg,watermark,1
E:\Finalbefmid\images\0048e396855d1d11.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_resized.jpg,resized,1
E:\Finalbefmid\images\0048e396855d1d11.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_cropped.jpg,cropped,1
E:\Finalbefmid\images\0048e396855d1d11.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_compressed.jpg,compressed,1
E:\Finalbefmid\images\0048e396855d1d11.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_color.jpg,color,1
E:\Finalbefmid\images\0048e396855d1d11.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_watermark.jpg,watermark,1
E:\Finalbefmid\images\007ab8020292f1da.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_resized.jpg,resized,1
E:\Finalbefmid\images\007ab8020292f1da.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_cropped.jpg,cropped,1
E:\Finalbefmid\images\007ab8020292f1da.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_compressed.jpg,compressed,1
E:\Finalbefmid\images\007ab8020292f1da.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_color.jpg,color,1
E:\Finalbefmid\images\007ab8020292f1da.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_watermark.jpg,watermark,1
E:\Finalbefmid\images\00533d5bee1452b6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_resized.jpg,resized,1
E:\Finalbefmid\images\00533d5bee1452b6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_cropped.jpg,cropped,1
E:\Finalbefmid\images\00533d5bee1452b6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_compressed.jpg,compressed,1
E:\Finalbefmid\images\00533d5bee1452b6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_color.jpg,color,1
E:\Finalbefmid\images\00533d5bee1452b6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_watermark.jpg,watermark,1
E:\Finalbefmid\images\007ce691b8a0eb48.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_resized.jpg,resized,1
E:\Finalbefmid\images\007ce691b8a0eb48.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_cropped.jpg,cropped,1
E:\Finalbefmid\images\007ce691b8a0eb48.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_compressed.jpg,compressed,1
E:\Finalbefmid\images\007ce691b8a0eb48.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_color.jpg,color,1
E:\Finalbefmid\images\007ce691b8a0eb48.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_watermark.jpg,watermark,1
E:\Finalbefmid\images\004a41b00a48235e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_resized.jpg,resized,1
E:\Finalbefmid\images\004a41b00a48235e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_cropped.jpg,cropped,1
E:\Finalbefmid\images\004a41b00a48235e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_compressed.jpg,compressed,1
E:\Finalbefmid\images\004a41b00a48235e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_color.jpg,color,1
E:\Finalbefmid\images\004a41b00a48235e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_watermark.jpg,watermark,1
E:\Finalbefmid\images\001168c36bf3e7fb.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_resized.jpg,resized,1
E:\Finalbefmid\images\001168c36bf3e7fb.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_cropped.jpg,cropped,1
E:\Finalbefmid\images\001168c36bf3e7fb.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_compressed.jpg,compressed,1
E:\Finalbefmid\images\001168c36bf3e7fb.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_color.jpg,color,1
E:\Finalbefmid\images\001168c36bf3e7fb.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_watermark.jpg,watermark,1
E:\Finalbefmid\images\004669a124cd975b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_resized.jpg,resized,1
E:\Finalbefmid\images\004669a124cd975b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_cropped.jpg,cropped,1
E:\Finalbefmid\images\004669a124cd975b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_compressed.jpg,compressed,1
E:\Finalbefmid\images\004669a124cd975b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_color.jpg,color,1
E:\Finalbefmid\images\004669a124cd975b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_watermark.jpg,watermark,1
E:\Finalbefmid\images\000b0a4034191385.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_resized.jpg,resized,1
E:\Finalbefmid\images\000b0a4034191385.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_cropped.jpg,cropped,1
E:\Finalbefmid\images\000b0a4034191385.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_compressed.jpg,compressed,1
E:\Finalbefmid\images\000b0a4034191385.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_color.jpg,color,1
E:\Finalbefmid\images\000b0a4034191385.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_watermark.jpg,watermark,1
E:\Finalbefmid\images\0048329b400a7ed5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_resized.jpg,resized,1
E:\Finalbefmid\images\0048329b400a7ed5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_cropped.jpg,cropped,1
E:\Finalbefmid\images\0048329b400a7ed5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_compressed.jpg,compressed,1
E:\Finalbefmid\images\0048329b400a7ed5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_color.jpg,color,1
E:\Finalbefmid\images\0048329b400a7ed5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_watermark.jpg,watermark,1
E:\Finalbefmid\images\00725dbd067db89b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_resized.jpg,resized,1
E:\Finalbefmid\images\00725dbd067db89b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_cropped.jpg,cropped,1
E:\Finalbefmid\images\00725dbd067db89b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_compressed.jpg,compressed,1
E:\Finalbefmid\images\00725dbd067db89b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_color.jpg,color,1
E:\Finalbefmid\images\00725dbd067db89b.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_watermark.jpg,watermark,1
E:\Finalbefmid\images\00777a5342aae214.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_resized.jpg,resized,1
E:\Finalbefmid\images\00777a5342aae214.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_cropped.jpg,cropped,1
E:\Finalbefmid\images\00777a5342aae214.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_compressed.jpg,compressed,1
E:\Finalbefmid\images\00777a5342aae214.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_color.jpg,color,1
E:\Finalbefmid\images\00777a5342aae214.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_watermark.jpg,watermark,1
E:\Finalbefmid\images\0026cd5bff78b06a.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_resized.jpg,resized,1
E:\Finalbefmid\images\0026cd5bff78b06a.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_cropped.jpg,cropped,1
E:\Finalbefmid\images\0026cd5bff78b06a.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_compressed.jpg,compressed,1
E:\Finalbefmid\images\0026cd5bff78b06a.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_color.jpg,color,1
E:\Finalbefmid\images\0026cd5bff78b06a.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_watermark.jpg,watermark,1
E:\Finalbefmid\images\00399e792b5ac69d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_resized.jpg,resized,1
E:\Finalbefmid\images\00399e792b5ac69d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_cropped.jpg,cropped,1
E:\Finalbefmid\images\00399e792b5ac69d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_compressed.jpg,compressed,1
E:\Finalbefmid\images\00399e792b5ac69d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_color.jpg,color,1
E:\Finalbefmid\images\00399e792b5ac69d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_watermark.jpg,watermark,1
E:\Finalbefmid\images\006790ae1e780d63.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_resized.jpg,resized,1
E:\Finalbefmid\images\006790ae1e780d63.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_cropped.jpg,cropped,1
E:\Finalbefmid\images\006790ae1e780d63.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_compressed.jpg,compressed,1
E:\Finalbefmid\images\006790ae1e780d63.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_color.jpg,color,1
E:\Finalbefmid\images\006790ae1e780d63.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_watermark.jpg,watermark,1
E:\Finalbefmid\images\000e338f075cbae3.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_resized.jpg,resized,1
E:\Finalbefmid\images\000e338f075cbae3.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_cropped.jpg,cropped,1
E:\Finalbefmid\images\000e338f075cbae3.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_compressed.jpg,compressed,1
E:\Finalbefmid\images\000e338f075cbae3.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_color.jpg,color,1
E:\Finalbefmid\images\000e338f075cbae3.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_watermark.jpg,watermark,1
E:\Finalbefmid\images\006d29d974c1a3cf.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_resized.jpg,resized,1
E:\Finalbefmid\images\006d29d974c1a3cf.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_cropped.jpg,cropped,1
E:\Finalbefmid\images\006d29d974c1a3cf.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_compressed.jpg,compressed,1
E:\Finalbefmid\images\006d29d974c1a3cf.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_color.jpg,color,1
E:\Finalbefmid\images\006d29d974c1a3cf.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_watermark.jpg,watermark,1
E:\Finalbefmid\images\004f7df33529f7e8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_resized.jpg,resized,1
E:\Finalbefmid\images\004f7df33529f7e8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_cropped.jpg,cropped,1
E:\Finalbefmid\images\004f7df33529f7e8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_compressed.jpg,compressed,1
E:\Finalbefmid\images\004f7df33529f7e8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_color.jpg,color,1
E:\Finalbefmid\images\004f7df33529f7e8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_watermark.jpg,watermark,1
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_000.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_001.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_002.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_003.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_004.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_005.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_006.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_007.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_008.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_009.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_010.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_011.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_012.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_013.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_014.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_015.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_016.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_017.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_018.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_019.jpg,unique,0
