test_image,expected,predicted,status,method,similarity
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_cropped.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_color.jpg,1,1,[TP],whash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_cropped.jpg,1,1,[TP],clip,93.83
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_color.jpg,1,1,[TP],phash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_cropped.jpg,1,1,[TP],clip,95.93
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_color.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_cropped.jpg,1,1,[TP],clip,93.64
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_compressed.jpg,1,1,[TP],phash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_cropped.jpg,1,1,[TP],clip,96.38
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_color.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_cropped.jpg,1,1,[TP],clip,93.07
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_color.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_cropped.jpg,1,1,[TP],clip,94.96
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_color.jpg,1,1,[TP],whash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_cropped.jpg,1,1,[TP],clip,95.34
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_color.jpg,1,1,[TP],phash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_cropped.jpg,1,1,[TP],clip,93.45
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_color.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_cropped.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_color.jpg,1,1,[TP],phash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048e396855d1d11_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_cropped.jpg,1,1,[TP],clip,88.79
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_color.jpg,1,1,[TP],phash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ab8020292f1da_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_cropped.jpg,1,1,[TP],clip,95.32
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_color.jpg,1,1,[TP],phash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00533d5bee1452b6_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_cropped.jpg,1,1,[TP],clip,95.17
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\007ce691b8a0eb48_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_cropped.jpg,1,1,[TP],clip,93.91
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_color.jpg,1,1,[TP],phash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004a41b00a48235e_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_cropped.jpg,1,1,[TP],clip,91.26
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\001168c36bf3e7fb_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_cropped.jpg,1,1,[TP],clip,92.28
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_compressed.jpg,1,1,[TP],phash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_color.jpg,1,1,[TP],clip,92.35
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004669a124cd975b_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_cropped.jpg,1,1,[TP],clip,97.4
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_color.jpg,1,1,[TP],clip,85.74
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000b0a4034191385_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_cropped.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_color.jpg,1,1,[TP],whash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0048329b400a7ed5_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_cropped.jpg,1,1,[TP],clip,93.82
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_color.jpg,1,1,[TP],phash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00725dbd067db89b_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_cropped.jpg,1,1,[TP],clip,92.45
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_color.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00777a5342aae214_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_cropped.jpg,1,1,[TP],clip,94.07
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_color.jpg,1,1,[TP],phash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0026cd5bff78b06a_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_cropped.jpg,1,1,[TP],clip,94.54
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_color.jpg,1,1,[TP],phash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00399e792b5ac69d_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_cropped.jpg,1,1,[TP],clip,91.41
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_color.jpg,1,1,[TP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006790ae1e780d63_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_cropped.jpg,1,1,[TP],clip,92.94
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\000e338f075cbae3_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_cropped.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\006d29d974c1a3cf_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_cropped.jpg,1,1,[TP],clip,89.81
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_color.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004f7df33529f7e8_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_000.jpg,0,1,[FP],whash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_001.jpg,0,1,[FP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_002.jpg,0,1,[FP],clip,75.79
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_003.jpg,0,1,[FP],clip,75.28
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_004.jpg,0,1,[FP],clip,77.62
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_005.jpg,0,1,[FP],clip,79.4
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_006.jpg,0,0,[TN],clip,0.0
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_007.jpg,0,1,[FP],clip,84.93
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_008.jpg,0,1,[FP],whash,93.75
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_009.jpg,0,0,[TN],clip,0.0
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_010.jpg,0,1,[FP],clip,79.8
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_011.jpg,0,1,[FP],clip,78.28
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_012.jpg,0,1,[FP],clip,78.79
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_013.jpg,0,1,[FP],clip,74.72
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_014.jpg,0,1,[FP],clip,78.7
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_015.jpg,0,1,[FP],clip,83.73
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_016.jpg,0,0,[TN],clip,0.0
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_017.jpg,0,1,[FP],clip,76.03
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_018.jpg,0,1,[FP],clip,77.93
E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_019.jpg,0,1,[FP],clip,74.04
