original,test_image,transform,expected
E:\Finalbefmid\images\002b7b3ff433372f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002b7b3ff433372f_compressed.jpg,compressed,1
E:\Finalbefmid\images\002b7b3ff433372f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002b7b3ff433372f_color.jpg,color,1
E:\Finalbefmid\images\002b7b3ff433372f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002b7b3ff433372f_watermark.jpg,watermark,1
E:\Finalbefmid\images\007338a07beb7d67.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007338a07beb7d67_resized.jpg,resized,1
E:\Finalbefmid\images\007338a07beb7d67.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007338a07beb7d67_cropped.jpg,cropped,1
E:\Finalbefmid\images\007338a07beb7d67.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007338a07beb7d67_compressed.jpg,compressed,1
E:\Finalbefmid\images\007338a07beb7d67.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007338a07beb7d67_color.jpg,color,1
E:\Finalbefmid\images\007338a07beb7d67.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007338a07beb7d67_watermark.jpg,watermark,1
E:\Finalbefmid\images\00701a0aed4d0777.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00701a0aed4d0777_resized.jpg,resized,1
E:\Finalbefmid\images\00701a0aed4d0777.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00701a0aed4d0777_cropped.jpg,cropped,1
E:\Finalbefmid\images\00701a0aed4d0777.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00701a0aed4d0777_compressed.jpg,compressed,1
E:\Finalbefmid\images\00701a0aed4d0777.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00701a0aed4d0777_color.jpg,color,1
E:\Finalbefmid\images\00701a0aed4d0777.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00701a0aed4d0777_watermark.jpg,watermark,1
E:\Finalbefmid\images\007aa45593608bcc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007aa45593608bcc_resized.jpg,resized,1
E:\Finalbefmid\images\007aa45593608bcc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007aa45593608bcc_cropped.jpg,cropped,1
E:\Finalbefmid\images\007aa45593608bcc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007aa45593608bcc_compressed.jpg,compressed,1
E:\Finalbefmid\images\007aa45593608bcc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007aa45593608bcc_color.jpg,color,1
E:\Finalbefmid\images\007aa45593608bcc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007aa45593608bcc_watermark.jpg,watermark,1
E:\Finalbefmid\images\002718d8f5d48fcd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002718d8f5d48fcd_resized.jpg,resized,1
E:\Finalbefmid\images\002718d8f5d48fcd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002718d8f5d48fcd_cropped.jpg,cropped,1
E:\Finalbefmid\images\002718d8f5d48fcd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002718d8f5d48fcd_compressed.jpg,compressed,1
E:\Finalbefmid\images\002718d8f5d48fcd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002718d8f5d48fcd_color.jpg,color,1
E:\Finalbefmid\images\002718d8f5d48fcd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002718d8f5d48fcd_watermark.jpg,watermark,1
E:\Finalbefmid\images\0057023a1096289f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0057023a1096289f_resized.jpg,resized,1
E:\Finalbefmid\images\0057023a1096289f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0057023a1096289f_cropped.jpg,cropped,1
E:\Finalbefmid\images\0057023a1096289f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0057023a1096289f_compressed.jpg,compressed,1
E:\Finalbefmid\images\0057023a1096289f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0057023a1096289f_color.jpg,color,1
E:\Finalbefmid\images\0057023a1096289f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0057023a1096289f_watermark.jpg,watermark,1
E:\Finalbefmid\images\0030f449296dda8c.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0030f449296dda8c_resized.jpg,resized,1
E:\Finalbefmid\images\0030f449296dda8c.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0030f449296dda8c_cropped.jpg,cropped,1
E:\Finalbefmid\images\0030f449296dda8c.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0030f449296dda8c_compressed.jpg,compressed,1
E:\Finalbefmid\images\0030f449296dda8c.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0030f449296dda8c_color.jpg,color,1
E:\Finalbefmid\images\0030f449296dda8c.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0030f449296dda8c_watermark.jpg,watermark,1
E:\Finalbefmid\images\00069530cf772c33.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00069530cf772c33_resized.jpg,resized,1
E:\Finalbefmid\images\00069530cf772c33.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00069530cf772c33_cropped.jpg,cropped,1
E:\Finalbefmid\images\00069530cf772c33.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00069530cf772c33_compressed.jpg,compressed,1
E:\Finalbefmid\images\00069530cf772c33.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00069530cf772c33_color.jpg,color,1
E:\Finalbefmid\images\00069530cf772c33.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00069530cf772c33_watermark.jpg,watermark,1
E:\Finalbefmid\images\007f5380adb53341.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007f5380adb53341_resized.jpg,resized,1
E:\Finalbefmid\images\007f5380adb53341.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007f5380adb53341_cropped.jpg,cropped,1
E:\Finalbefmid\images\007f5380adb53341.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007f5380adb53341_compressed.jpg,compressed,1
E:\Finalbefmid\images\007f5380adb53341.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007f5380adb53341_color.jpg,color,1
E:\Finalbefmid\images\007f5380adb53341.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\007f5380adb53341_watermark.jpg,watermark,1
E:\Finalbefmid\images\0018901d643d8ffd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018901d643d8ffd_resized.jpg,resized,1
E:\Finalbefmid\images\0018901d643d8ffd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018901d643d8ffd_cropped.jpg,cropped,1
E:\Finalbefmid\images\0018901d643d8ffd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018901d643d8ffd_compressed.jpg,compressed,1
E:\Finalbefmid\images\0018901d643d8ffd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018901d643d8ffd_color.jpg,color,1
E:\Finalbefmid\images\0018901d643d8ffd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018901d643d8ffd_watermark.jpg,watermark,1
E:\Finalbefmid\images\0066534281e04a83.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0066534281e04a83_resized.jpg,resized,1
E:\Finalbefmid\images\0066534281e04a83.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0066534281e04a83_cropped.jpg,cropped,1
E:\Finalbefmid\images\0066534281e04a83.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0066534281e04a83_compressed.jpg,compressed,1
E:\Finalbefmid\images\0066534281e04a83.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0066534281e04a83_color.jpg,color,1
E:\Finalbefmid\images\0066534281e04a83.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0066534281e04a83_watermark.jpg,watermark,1
E:\Finalbefmid\images\00303844bebf4553.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00303844bebf4553_resized.jpg,resized,1
E:\Finalbefmid\images\00303844bebf4553.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00303844bebf4553_cropped.jpg,cropped,1
E:\Finalbefmid\images\00303844bebf4553.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00303844bebf4553_compressed.jpg,compressed,1
E:\Finalbefmid\images\00303844bebf4553.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00303844bebf4553_color.jpg,color,1
E:\Finalbefmid\images\00303844bebf4553.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00303844bebf4553_watermark.jpg,watermark,1
E:\Finalbefmid\images\0018485f2ce48abc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018485f2ce48abc_resized.jpg,resized,1
E:\Finalbefmid\images\0018485f2ce48abc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018485f2ce48abc_cropped.jpg,cropped,1
E:\Finalbefmid\images\0018485f2ce48abc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018485f2ce48abc_compressed.jpg,compressed,1
E:\Finalbefmid\images\0018485f2ce48abc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018485f2ce48abc_color.jpg,color,1
E:\Finalbefmid\images\0018485f2ce48abc.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0018485f2ce48abc_watermark.jpg,watermark,1
E:\Finalbefmid\images\0004d93b4987310d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0004d93b4987310d_resized.jpg,resized,1
E:\Finalbefmid\images\0004d93b4987310d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0004d93b4987310d_cropped.jpg,cropped,1
E:\Finalbefmid\images\0004d93b4987310d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0004d93b4987310d_compressed.jpg,compressed,1
E:\Finalbefmid\images\0004d93b4987310d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0004d93b4987310d_color.jpg,color,1
E:\Finalbefmid\images\0004d93b4987310d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0004d93b4987310d_watermark.jpg,watermark,1
E:\Finalbefmid\images\003faeba0e48e484.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003faeba0e48e484_resized.jpg,resized,1
E:\Finalbefmid\images\003faeba0e48e484.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003faeba0e48e484_cropped.jpg,cropped,1
E:\Finalbefmid\images\003faeba0e48e484.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003faeba0e48e484_compressed.jpg,compressed,1
E:\Finalbefmid\images\003faeba0e48e484.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003faeba0e48e484_color.jpg,color,1
E:\Finalbefmid\images\003faeba0e48e484.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003faeba0e48e484_watermark.jpg,watermark,1
E:\Finalbefmid\images\002e3c27cc27cb68.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002e3c27cc27cb68_resized.jpg,resized,1
E:\Finalbefmid\images\002e3c27cc27cb68.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002e3c27cc27cb68_cropped.jpg,cropped,1
E:\Finalbefmid\images\002e3c27cc27cb68.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002e3c27cc27cb68_compressed.jpg,compressed,1
E:\Finalbefmid\images\002e3c27cc27cb68.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002e3c27cc27cb68_color.jpg,color,1
E:\Finalbefmid\images\002e3c27cc27cb68.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002e3c27cc27cb68_watermark.jpg,watermark,1
E:\Finalbefmid\images\0046becc9f05e02f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0046becc9f05e02f_resized.jpg,resized,1
E:\Finalbefmid\images\0046becc9f05e02f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0046becc9f05e02f_cropped.jpg,cropped,1
E:\Finalbefmid\images\0046becc9f05e02f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0046becc9f05e02f_compressed.jpg,compressed,1
E:\Finalbefmid\images\0046becc9f05e02f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0046becc9f05e02f_color.jpg,color,1
E:\Finalbefmid\images\0046becc9f05e02f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0046becc9f05e02f_watermark.jpg,watermark,1
E:\Finalbefmid\images\003c109854307209.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003c109854307209_resized.jpg,resized,1
E:\Finalbefmid\images\003c109854307209.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003c109854307209_cropped.jpg,cropped,1
E:\Finalbefmid\images\003c109854307209.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003c109854307209_compressed.jpg,compressed,1
E:\Finalbefmid\images\003c109854307209.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003c109854307209_color.jpg,color,1
E:\Finalbefmid\images\003c109854307209.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003c109854307209_watermark.jpg,watermark,1
E:\Finalbefmid\images\000928f01a1a286f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000928f01a1a286f_resized.jpg,resized,1
E:\Finalbefmid\images\000928f01a1a286f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000928f01a1a286f_cropped.jpg,cropped,1
E:\Finalbefmid\images\000928f01a1a286f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000928f01a1a286f_compressed.jpg,compressed,1
E:\Finalbefmid\images\000928f01a1a286f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000928f01a1a286f_color.jpg,color,1
E:\Finalbefmid\images\000928f01a1a286f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000928f01a1a286f_watermark.jpg,watermark,1
E:\Finalbefmid\images\004e3db4ed10fe2e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004e3db4ed10fe2e_resized.jpg,resized,1
E:\Finalbefmid\images\004e3db4ed10fe2e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004e3db4ed10fe2e_cropped.jpg,cropped,1
E:\Finalbefmid\images\004e3db4ed10fe2e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004e3db4ed10fe2e_compressed.jpg,compressed,1
E:\Finalbefmid\images\004e3db4ed10fe2e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004e3db4ed10fe2e_color.jpg,color,1
E:\Finalbefmid\images\004e3db4ed10fe2e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004e3db4ed10fe2e_watermark.jpg,watermark,1
E:\Finalbefmid\images\0041006b909b986d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0041006b909b986d_resized.jpg,resized,1
E:\Finalbefmid\images\0041006b909b986d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0041006b909b986d_cropped.jpg,cropped,1
E:\Finalbefmid\images\0041006b909b986d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0041006b909b986d_compressed.jpg,compressed,1
E:\Finalbefmid\images\0041006b909b986d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0041006b909b986d_color.jpg,color,1
E:\Finalbefmid\images\0041006b909b986d.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0041006b909b986d_watermark.jpg,watermark,1
E:\Finalbefmid\images\000ea62622d3e5b2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ea62622d3e5b2_resized.jpg,resized,1
E:\Finalbefmid\images\000ea62622d3e5b2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ea62622d3e5b2_cropped.jpg,cropped,1
E:\Finalbefmid\images\000ea62622d3e5b2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ea62622d3e5b2_compressed.jpg,compressed,1
E:\Finalbefmid\images\000ea62622d3e5b2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ea62622d3e5b2_color.jpg,color,1
E:\Finalbefmid\images\000ea62622d3e5b2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ea62622d3e5b2_watermark.jpg,watermark,1
E:\Finalbefmid\images\0005cac7fca1ffb6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0005cac7fca1ffb6_resized.jpg,resized,1
E:\Finalbefmid\images\0005cac7fca1ffb6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0005cac7fca1ffb6_cropped.jpg,cropped,1
E:\Finalbefmid\images\0005cac7fca1ffb6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0005cac7fca1ffb6_compressed.jpg,compressed,1
E:\Finalbefmid\images\0005cac7fca1ffb6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0005cac7fca1ffb6_color.jpg,color,1
E:\Finalbefmid\images\0005cac7fca1ffb6.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0005cac7fca1ffb6_watermark.jpg,watermark,1
E:\Finalbefmid\images\005cd87e996a41ce.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\005cd87e996a41ce_resized.jpg,resized,1
E:\Finalbefmid\images\005cd87e996a41ce.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\005cd87e996a41ce_cropped.jpg,cropped,1
E:\Finalbefmid\images\005cd87e996a41ce.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\005cd87e996a41ce_compressed.jpg,compressed,1
E:\Finalbefmid\images\005cd87e996a41ce.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\005cd87e996a41ce_color.jpg,color,1
E:\Finalbefmid\images\005cd87e996a41ce.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\005cd87e996a41ce_watermark.jpg,watermark,1
E:\Finalbefmid\images\001f0227cd6751dd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001f0227cd6751dd_resized.jpg,resized,1
E:\Finalbefmid\images\001f0227cd6751dd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001f0227cd6751dd_cropped.jpg,cropped,1
E:\Finalbefmid\images\001f0227cd6751dd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001f0227cd6751dd_compressed.jpg,compressed,1
E:\Finalbefmid\images\001f0227cd6751dd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001f0227cd6751dd_color.jpg,color,1
E:\Finalbefmid\images\001f0227cd6751dd.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001f0227cd6751dd_watermark.jpg,watermark,1
E:\Finalbefmid\images\006f3deb000244a9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006f3deb000244a9_resized.jpg,resized,1
E:\Finalbefmid\images\006f3deb000244a9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006f3deb000244a9_cropped.jpg,cropped,1
E:\Finalbefmid\images\006f3deb000244a9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006f3deb000244a9_compressed.jpg,compressed,1
E:\Finalbefmid\images\006f3deb000244a9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006f3deb000244a9_color.jpg,color,1
E:\Finalbefmid\images\006f3deb000244a9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006f3deb000244a9_watermark.jpg,watermark,1
E:\Finalbefmid\images\000ddab508a9c807.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ddab508a9c807_resized.jpg,resized,1
E:\Finalbefmid\images\000ddab508a9c807.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ddab508a9c807_cropped.jpg,cropped,1
E:\Finalbefmid\images\000ddab508a9c807.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ddab508a9c807_compressed.jpg,compressed,1
E:\Finalbefmid\images\000ddab508a9c807.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ddab508a9c807_color.jpg,color,1
E:\Finalbefmid\images\000ddab508a9c807.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ddab508a9c807_watermark.jpg,watermark,1
